stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,stop_area
8106,,Lingiai,,55.57279,21.29629,https://www.stops.lt/klaipeda/index.html#stop/9100,,,2
8548,,Lingiai,,55.57413,21.29496,https://www.stops.lt/klaipeda/index.html#stop/9101,,,2
7940,,Priekulė,,55.55328,21.32303,https://www.stops.lt/klaipeda/index.html#stop/9104,,,2
8126,,Priekulės geležinkelio stotis,,55.56441,21.30653,https://www.stops.lt/klaipeda/index.html#stop/9103,,,2
8139,,Priekulės geležinkelio stotis,,55.56291,21.30841,https://www.stops.lt/klaipeda/index.html#stop/9102,,,2
8014,,Dreverna,,55.52142,21.24562,https://www.stops.lt/klaipeda/index.html#stop/9114,,,2
8731,,Dreverna,,55.52130,21.24598,https://www.stops.lt/klaipeda/index.html#stop/9115,,,2
8097,,Pangesai,,55.54747,21.29979,https://www.stops.lt/klaipeda/index.html#stop/9107,,,2
8098,,Pangesai,,55.54758,21.30094,https://www.stops.lt/klaipeda/index.html#stop/9106,,,2
8004,,Pempiai,,55.54661,21.27935,https://www.stops.lt/klaipeda/index.html#stop/9108,,,2
8029,,Pempiai,,55.54691,21.28117,https://www.stops.lt/klaipeda/index.html#stop/9109,,,2
8019,,Pjauliai,,55.54001,21.25340,https://www.stops.lt/klaipeda/index.html#stop/9110,,,2
8028,,Pjauliai,,55.54025,21.25453,https://www.stops.lt/klaipeda/index.html#stop/9111,,,2
8109,,Tiltas,,55.52900,21.25511,https://www.stops.lt/klaipeda/index.html#stop/9112,,,2
8985,,Tiltas,,55.52865,21.25559,https://www.stops.lt/klaipeda/index.html#stop/9113,,,2
8547,,Svencelė,,55.49070,21.25244,https://www.stops.lt/klaipeda/index.html#stop/9116,,,2
102,,Pilies st.,,55.70284,21.13646,https://www.stops.lt/klaipeda/index.html#stop/1207,,,1
107,,Teatro st.,,55.70682,21.13180,https://www.stops.lt/klaipeda/index.html#stop/1202,,,1
103,,Turgaus st.,,55.70591,21.14049,https://www.stops.lt/klaipeda/index.html#stop/1206,,,1
4413,,Turgaus st.,,55.70531,21.14179,https://www.stops.lt/klaipeda/index.html#stop/1205a,,,1
4495,,Senamiesčio st.,,55.70802,21.13675,https://www.stops.lt/klaipeda/index.html#stop/1217,,,1
4496,,Senamiesčio st.,,55.70804,21.13693,https://www.stops.lt/klaipeda/index.html#stop/1218,,,1
9210,,Ventainė,,55.35789,21.20761,https://www.stops.lt/klaipeda/index.html#stop/9147,,,3
7782,,Kintai,,55.42087,21.26361,https://www.stops.lt/klaipeda/index.html#stop/9139,,,3
8100,,Kintų eiguva,,55.43191,21.28035,https://www.stops.lt/klaipeda/index.html#stop/9137,,,3
9155,,Kintų eiguva,,55.43177,21.28001,https://www.stops.lt/klaipeda/index.html#stop/9136,,,3
8777,,Kiošiai,,55.48298,21.34727,https://www.stops.lt/klaipeda/index.html#stop/9128,,,3
8778,,Kiošiai,,55.48358,21.34772,https://www.stops.lt/klaipeda/index.html#stop/9129,,,3
8095,,Kiškiai,,55.44703,21.30354,https://www.stops.lt/klaipeda/index.html#stop/9135,,,3
9154,,Kiškiai,,55.44642,21.30251,https://www.stops.lt/klaipeda/index.html#stop/9134,,,3
8165,,Sakūčiai,,55.45257,21.33992,https://www.stops.lt/klaipeda/index.html#stop/9132,,,3
8131,,Sakūčių mokykla,,55.46121,21.34612,https://www.stops.lt/klaipeda/index.html#stop/9130,,,3
8590,,Sakūčių mokykla,,55.46089,21.34633,https://www.stops.lt/klaipeda/index.html#stop/9131,,,3
9213,,Stankiškiai,,55.38203,21.22992,https://www.stops.lt/klaipeda/index.html#stop/9143,,,3
9214,,Stankiškiai,,55.38156,21.22909,https://www.stops.lt/klaipeda/index.html#stop/9142,,,3
7918,,Šturmai,,55.36521,21.21352,https://www.stops.lt/klaipeda/index.html#stop/9145,,,3
7919,,Šturmai,,55.36479,21.21327,https://www.stops.lt/klaipeda/index.html#stop/9144,,,3
7920,,Suvernai,,55.39790,21.24868,https://www.stops.lt/klaipeda/index.html#stop/9140,,,3
7921,,Suvernai,,55.39861,21.24922,https://www.stops.lt/klaipeda/index.html#stop/9141,,,3
9219,,Ventainė,,55.35605,21.20591,https://www.stops.lt/klaipeda/index.html#stop/9146,,,3
8606,,Ventė,,55.34587,21.19485,https://www.stops.lt/klaipeda/index.html#stop/9149,,,3
8114,,Bružai,,55.44137,21.48808,https://www.stops.lt/klaipeda/index.html#stop/9511,,,3
9016,,Bružai,,55.44249,21.48848,https://www.stops.lt/klaipeda/index.html#stop/9512,,,3
7926,,Čiūteliai,,55.49250,21.42640,https://www.stops.lt/klaipeda/index.html#stop/9503,,,3
7927,,Čiūteliai,,55.49299,21.42619,https://www.stops.lt/klaipeda/index.html#stop/9504,,,3
7845,,Lapaliai,,55.37797,21.46961,https://www.stops.lt/klaipeda/index.html#stop/9527,,,3
7846,,Lapaliai,,55.38051,21.47050,https://www.stops.lt/klaipeda/index.html#stop/9528,,,3
8572,,Lapynai,,55.42580,21.48440,https://www.stops.lt/klaipeda/index.html#stop/9514,,,3
8573,,Lapynai,,55.42403,21.48355,https://www.stops.lt/klaipeda/index.html#stop/9513,,,3
8110,,Montvydai,,55.48006,21.43553,https://www.stops.lt/klaipeda/index.html#stop/9506,,,3
9012,,Montvydai,,55.47978,21.43553,https://www.stops.lt/klaipeda/index.html#stop/9505,,,3
8130,,Rudynai,,55.39187,21.47360,https://www.stops.lt/klaipeda/index.html#stop/9525,,,3
8133,,Rudynai,,55.39278,21.47420,https://www.stops.lt/klaipeda/index.html#stop/9526,,,3
7934,,Saugos,,55.46419,21.46975,https://www.stops.lt/klaipeda/index.html#stop/9508,,,3
7935,,Saugos,,55.46310,21.47146,https://www.stops.lt/klaipeda/index.html#stop/9507,,,3
7924,,Vilkyčiai,,55.51707,21.40081,https://www.stops.lt/klaipeda/index.html#stop/9501,,,3
7925,,Vilkyčiai,,55.51747,21.40026,https://www.stops.lt/klaipeda/index.html#stop/9502,,,3
7847,,Žemaitkiemis,,55.41623,21.48144,https://www.stops.lt/klaipeda/index.html#stop/9516,,,3
8112,,Žemaitkiemis,,55.41435,21.48055,https://www.stops.lt/klaipeda/index.html#stop/9515,,,3
9633,,Šilutės turgus,,55.34878,21.47265,https://www.stops.lt/klaipeda/index.html#stop/9539,,,3
9406,,Žibai,,55.35112,21.47798,https://www.stops.lt/klaipeda/index.html#stop/9536,,,3
9140,,Šilutės geležinkelio stotis,,55.34572,21.48501,https://www.stops.lt/klaipeda/index.html#stop/9537,,,3
9141,,Šilutės geležinkelio stotis,,55.34743,21.48334,https://www.stops.lt/klaipeda/index.html#stop/9538,,,3
9408,,Žibai,,55.35073,21.47994,https://www.stops.lt/klaipeda/index.html#stop/9535,,,3
9631,,K.Į.K,,55.34833,21.46937,https://www.stops.lt/klaipeda/index.html#stop/9532,,,3
9632,,K.Į.K,,55.34841,21.46894,https://www.stops.lt/klaipeda/index.html#stop/9531,,,3
7901,,Garažai,,55.35692,21.46360,https://www.stops.lt/klaipeda/index.html#stop/9533,,,3
7902,,Garažai,,55.35730,21.46397,https://www.stops.lt/klaipeda/index.html#stop/9534,,,3
7903,,Traksėdžiai,,55.36716,21.46705,https://www.stops.lt/klaipeda/index.html#stop/9530,,,3
7904,,Traksėdžiai,,55.36761,21.46694,https://www.stops.lt/klaipeda/index.html#stop/9529,,,3
9411,,Universalinė parduotuvė,,55.34310,21.47166,https://www.stops.lt/klaipeda/index.html#stop/9545,,,3
8080,,Sausgalvių kelias,,55.31760,21.44265,https://www.stops.lt/klaipeda/index.html#stop/9553,,,3
8773,,Sausgalvių kelias,,55.31800,21.44390,https://www.stops.lt/klaipeda/index.html#stop/9554,,,3
9416,,Šlažai,,55.32897,21.45949,https://www.stops.lt/klaipeda/index.html#stop/9551,,,3
9417,,Šlažai,,55.32842,21.45978,https://www.stops.lt/klaipeda/index.html#stop/9552,,,3
7889,,Žalgiriai,,55.30157,21.38747,https://www.stops.lt/klaipeda/index.html#stop/9557,,,3
7890,,Žalgiriai,,55.30140,21.38871,https://www.stops.lt/klaipeda/index.html#stop/9558,,,3
8162,,Žalgiris,,55.30777,21.40978,https://www.stops.lt/klaipeda/index.html#stop/9555,,,3
8762,,Žalgiris,,55.30805,21.41113,https://www.stops.lt/klaipeda/index.html#stop/9556,,,3
7916,,Rusnė,,55.29930,21.37366,https://www.stops.lt/klaipeda/index.html#stop/9559,,,3
9445,,Šilutės AS; 1 aikštelė,,55.34386,21.48397,https://www.stops.lt/klaipeda/index.html#stop/9542,,,3
9407,,Šilutės AS; 5 aikštelė,,55.34387,21.48385,https://www.stops.lt/klaipeda/index.html#stop/9541,,,3
4667,,Pakrantės st.,,55.74273,21.19240,https://www.stops.lt/klaipeda/index.html#stop/8817,,,2
4668,,Pakrantės st.,,55.74161,21.19233,https://www.stops.lt/klaipeda/index.html#stop/8818,,,2
6986,,Eglynai,,55.76297,21.31309,https://www.stops.lt/klaipeda/index.html#stop/8962,,,2
6987,,Eglynai,,55.76327,21.31420,https://www.stops.lt/klaipeda/index.html#stop/8963,,,2
