block_id,block_code,block_name,vehicle_type,max_capacity
642128,M6-01,TOKS,bus_minibus,23
642129,M6-02,TOKS,bus_minibus,23
642130,M6-03,TOKS,bus_minibus,23
642131,M6-04,TOKS,bus_minibus,23
642126,M6-05,TOKS,bus_minibus,23
642127,M6-06,TOKS,bus_minibus,23
642133,M6-07,TOKS,bus_minibus,23
642132,M6-08,TOKS,bus_minibus,23
642160,M6-01,TOKS,bus_minibus,23
642161,M6-02,TOKS,bus_minibus,23
642162,M6-03,TOKS,bus_minibus,23
642163,M6-04,TOKS,bus_minibus,23
642158,M6-05,TOKS,bus_minibus,23
642159,M6-06,TOKS,bus_minibus,23
642165,M6-07,TOKS,bus_minibus,23
642164,M6-08,TOKS,bus_minibus,23
642738,M6-01,TOKS,bus_minibus,23
642739,M6-02,TOKS,bus_minibus,23
642740,M6-03,TOKS,bus_minibus,23
642741,M6-04,TOKS,bus_minibus,23
642736,M6-05,TOKS,bus_minibus,23
642737,M6-06,TOKS,bus_minibus,23
642742,M6-07,TOKS,bus_minibus,23
642745,M6-01,TOKS,bus_minibus,23
642746,M6-02,TOKS,bus_minibus,23
642747,M6-03,TOKS,bus_minibus,23
642748,M6-04,TOKS,bus_minibus,23
642743,M6-05,TOKS,bus_minibus,23
642744,M6-06,TOKS,bus_minibus,23
642749,M6-07,TOKS,bus_minibus,23
632531,M8-01,TOKS,bus_minibus,23
632532,M8-02,TOKS,bus_minibus,23
632533,M8-03,TOKS,bus_minibus,23
632534,M8-04,TOKS,bus_minibus,23
632530,M8-05,TOKS,bus_minibus,23
632535,M8-06,TOKS,bus_minibus,23
632536,M8-07,TOKS,bus_minibus,23
632538,M8-01,TOKS,bus_minibus,23
632539,M8-02,TOKS,bus_minibus,23
632540,M8-03,TOKS,bus_minibus,23
632541,M8-04,TOKS,bus_minibus,23
632537,M8-05,TOKS,bus_minibus,23
632542,M8-06,TOKS,bus_minibus,23
632543,M8-07,TOKS,bus_minibus,23
632545,M8-01,TOKS,bus_minibus,23
632546,M8-02,TOKS,bus_minibus,23
632547,M8-03,TOKS,bus_minibus,23
632548,M8-04,TOKS,bus_minibus,23
632544,M8-05,TOKS,bus_minibus,23
632549,M8-06,TOKS,bus_minibus,23
653632,1-02,AP,bus_regular,80
653636,1-01,AP,bus_regular,80
653635,1-03,AP,bus_regular,80
653634,1-04,AP,bus_regular,80
653633,1-05,AP,bus_regular,80
653650,1-02,AP,bus_regular,80
653649,1-01,AP,bus_regular,80
653648,1-03,AP,bus_regular,80
653647,1-04,AP,bus_regular,80
653651,1-05,AP,bus_regular,80
549829,1-01,AP,bus_regular,80
549828,1-02,AP,bus_regular,80
549830,1-03,AP,bus_regular,80
549832,1-01,AP,bus_regular,80
549831,1-02,AP,bus_regular,80
549833,1-03,AP,bus_regular,80
653641,12-03,Kautra,bus_regular,80
653645,12-06,Kautra,bus_regular,80
653656,12-03,Kautra,bus_regular,80
653660,12-06,Kautra,bus_regular,80
667365,2-01,Kautra,bus_regular,80
667366,2-02,Kautra,bus_regular,80
667367,2-03,Kautra,bus_regular,80
667368,2-04,Kautra,bus_regular,80
667369,2-05,Kautra,bus_regular,80
667379,2-01,Kautra,bus_regular,80
667380,2-02,Kautra,bus_regular,80
667378,2-03,Kautra,bus_regular,80
667377,2-04,Kautra,bus_regular,80
667382,2-01,Kautra,bus_regular,80
667383,2-02,Kautra,bus_regular,80
667381,2-03,Kautra,bus_regular,80
667372,2A-01,TOKS,bus_minibus,23
667373,2A-02,TOKS,bus_minibus,23
667371,2A-03,TOKS,bus_minibus,23
667374,2A-04,TOKS,bus_minibus,23
667375,2A-05,TOKS,bus_minibus,23
667384,2A-01,TOKS,bus_minibus,23
667385,2A-01,TOKS,bus_minibus,23
634842,3-01,Kautra,bus_regular,80
634848,3-02,Kautra,bus_regular,80
634844,3-03,Kautra,bus_regular,80
634845,3-04,Kautra,bus_regular,80
634849,3-05,Kautra,bus_regular,80
634846,3-06,Kautra,bus_regular,80
634847,3-07,Kautra,bus_regular,80
634843,3-08,Kautra,bus_regular,80
634852,3-01,Kautra,bus_regular,80
634851,3-02,Kautra,bus_regular,80
634854,3-03,Kautra,bus_regular,80
634853,3-04,Kautra,bus_regular,80
634855,3-05,Kautra,bus_regular,80
634856,3-06,Kautra,bus_regular,80
634858,3-01,Kautra,bus_regular,80
634857,3-02,Kautra,bus_regular,80
634860,3-03,Kautra,bus_regular,80
634859,3-04,Kautra,bus_regular,80
634861,3-05,Kautra,bus_regular,80
634862,3-06,Kautra,bus_regular,80
660839,4-01,Kautra,bus_regular,80
660840,4-02,Kautra,bus_regular,80
660841,4-03,Kautra,bus_regular,80
660838,4-04,Kautra,bus_regular,80
660842,4-05,Kautra,bus_regular,80
660844,4-01,Kautra,bus_regular,80
660843,4-02,Kautra,bus_regular,80
660845,4-03,Kautra,bus_regular,80
660846,4-04,Kautra,bus_regular,80
660847,4-05,Kautra,bus_regular,80
660848,4-01,Kautra,bus_regular,80
660849,4-02,Kautra,bus_regular,80
660850,4-03,Kautra,bus_regular,80
660851,4-04,Kautra,bus_regular,80
660852,4-05,Kautra,bus_regular,80
632700,5-01,AP,bus_regular,80
632702,5-02,AP,bus_regular,80
632703,5-03,AP,bus_regular,80
632701,5-04,AP,bus_regular,80
632704,5-05,AP,bus_regular,80
632705,5-06,AP,bus_regular,80
632706,5-01,AP,bus_regular,80
632707,5-02,AP,bus_regular,80
632708,5-03,AP,bus_regular,80
632709,5-04,AP,bus_regular,80
632710,5-01,AP,bus_regular,80
632711,5-02,AP,bus_regular,80
632713,5-03,AP,bus_regular,80
632712,5-04,AP,bus_regular,80
653663,6-01,AP,bus_regular,80
653667,6-02,AP,bus_regular,80
653666,6-03,AP,bus_regular,80
653665,6-04,AP,bus_regular,80
653669,6-05,AP,bus_regular,80
653662,6-06,AP,bus_regular,80
653671,6-07,AP,bus_regular,80
653670,6-08,AP,bus_regular,80
653673,6-09,AP,bus_regular,80
653664,6-10,AP,bus_regular,80
653672,6-11,AP,bus_regular,80
653668,6-12,AP,bus_regular,80
656018,6-01,AP,bus_regular,80
656020,6-02,AP,bus_regular,80
656021,6-03,AP,bus_regular,80
656023,6-04,AP,bus_regular,80
