route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
klaipeda_bus_M6_TOKS,160178,AM6-03-1-251229-ab-2020,Maršrutinis taksi Melnragė,0,642130,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-04-1-251229-ab-2040,Maršrutinis taksi Melnragė,0,642131,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-01-1-251229-ab-2100,Maršrutinis taksi Melnragė,0,642128,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-02-1-251229-ab-2120,Maršrutinis taksi Melnragė,0,642129,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-03-1-251229-ab-2140,Maršrutinis taksi Melnragė,0,642130,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-04-1-251229-ab-2200,Maršrutinis taksi Melnragė,0,642131,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-01-1-251229-ab-2220,Maršrutinis taksi Melnragė,0,642128,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-02-1-251229-ab-2240,Maršrutinis taksi Melnragė,0,642129,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160178,AM6-03-1-251229-ab-2300,Maršrutinis taksi Melnragė,0,642130,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-01-5-251229-ab-0630,Maršrutinis taksi Melnragė,0,642160,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-02-5-251229-ab-0640,Maršrutinis taksi Melnragė,0,642161,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-03-5-251229-ab-0650,Maršrutinis taksi Melnragė,0,642162,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-04-5-251229-ab-0700,Maršrutinis taksi Melnragė,0,642163,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-05-5-251229-ab-0710,Maršrutinis taksi Melnragė,0,642158,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-06-5-251229-ab-0720,Maršrutinis taksi Melnragė,0,642159,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-07-5-251229-ab-0730,Maršrutinis taksi Melnragė,0,642165,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-08-5-251229-ab-0740,Maršrutinis taksi Melnragė,0,642164,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-01-5-251229-ab-0750,Maršrutinis taksi Melnragė,0,642160,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-02-5-251229-ab-0800,Maršrutinis taksi Melnragė,0,642161,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-03-5-251229-ab-0810,Maršrutinis taksi Melnragė,0,642162,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-04-5-251229-ab-0830,Maršrutinis taksi Melnragė,0,642163,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-05-5-251229-ab-0840,Maršrutinis taksi Melnragė,0,642158,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-06-5-251229-ab-0850,Maršrutinis taksi Melnragė,0,642159,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-07-5-251229-ab-0900,Maršrutinis taksi Melnragė,0,642165,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-08-5-251229-ab-0910,Maršrutinis taksi Melnragė,0,642164,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-01-5-251229-ab-0920,Maršrutinis taksi Melnragė,0,642160,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-02-5-251229-ab-0940,Maršrutinis taksi Melnragė,0,642161,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-03-5-251229-ab-0950,Maršrutinis taksi Melnragė,0,642162,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-04-5-251229-ab-1000,Maršrutinis taksi Melnragė,0,642163,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-06-5-251229-ab-1020,Maršrutinis taksi Melnragė,0,642159,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-05-5-251229-ab-1030,Maršrutinis taksi Melnragė,0,642158,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-08-5-251229-ab-1040,Maršrutinis taksi Melnragė,0,642164,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-07-5-251229-ab-1100,Maršrutinis taksi Melnragė,0,642165,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-01-5-251229-ab-1110,Maršrutinis taksi Melnragė,0,642160,klaipeda_bus_M6_a-b,
